,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
273,Malartic,48.1335,-78.1328,24.03,light snow,87,100,10.4,CA
274,Nelson Bay,-32.7167,152.15,68.68,clear sky,68,10,4.27,AU
275,Galanta,48.19,17.7275,46.98,clear sky,72,7,6.31,SK
276,Khargone,21.8167,75.6,68.74,clear sky,34,2,2.46,IN
277,Naze,28.3667,129.4833,58.73,overcast clouds,85,96,9.71,JP
278,Dolores Hidalgo,21.1561,-100.9308,65.79,clear sky,30,1,5.97,MX
279,Yaremche,48.4583,24.5519,38.97,overcast clouds,93,86,6.82,UA
280,Bafra,41.5678,35.9069,42.58,overcast clouds,76,100,13.58,TR
281,Ozark,37.0209,-93.206,58.75,scattered clouds,35,26,9.8,US
282,Saint-Joseph,-21.3667,55.6167,75.58,overcast clouds,80,99,8.28,RE
283,Hasaki,35.7333,140.8333,39.6,overcast clouds,59,93,13.02,JP
284,Kita,13.0349,-9.4895,92.71,clear sky,9,0,4.21,ML
285,Coihaique,-45.5752,-72.0662,66.81,scattered clouds,42,40,8.05,CL
286,Huilong,31.8111,121.655,42.04,overcast clouds,82,99,6.44,CN
287,Alugan,12.2188,125.4808,78.75,overcast clouds,76,89,13.18,PH
288,Fukue,32.6881,128.8419,49.75,overcast clouds,65,99,9.33,JP
289,Yagodnoye,62.55,149.6667,-27.44,overcast clouds,91,87,3.91,RU
290,Castro,-24.7911,-50.0119,73.26,scattered clouds,67,46,4.36,BR
291,Saint-Pierre,-21.3393,55.4781,76.68,clear sky,69,0,4.61,RE
292,Shaunavon,49.6501,-108.4181,35.38,broken clouds,85,75,7.54,CA
293,Haines Junction,60.7522,-137.5108,35.55,overcast clouds,93,89,6.91,CA
294,Tuatapere,-46.1333,167.6833,59.83,broken clouds,98,80,0.67,NZ
295,San Vicente,-26.6167,-54.1333,91.81,clear sky,16,1,3.29,AR
296,Ponta Delgada,37.7333,-25.6667,65.5,few clouds,72,20,12.66,PT
297,Namibe,-15.1961,12.1522,74.93,overcast clouds,75,100,12.84,AO
298,Suluq,31.6682,20.2521,51.67,clear sky,61,4,11.48,LY
299,Jardim,-21.4803,-56.1381,96.64,clear sky,16,0,2.51,BR
300,Tsimlyansk,47.6461,42.1019,33.08,overcast clouds,90,100,13.69,RU
301,Hovd,48.0056,91.6419,-5.91,overcast clouds,97,100,0.65,MN
302,Laukaa,58.7372,29.8453,32.41,overcast clouds,88,97,11.18,RU
303,Moranbah,-22.0016,148.0466,72.81,scattered clouds,75,32,6.15,AU
304,Vardo,70.3705,31.1107,26.8,broken clouds,86,75,14.97,NO
305,Manavalakurichi,8.1333,77.3,84.29,overcast clouds,72,99,9.69,IN
306,Cherskiy,68.75,161.3,-44.32,broken clouds,100,77,4.36,RU
307,Farafangana,-22.8167,47.8333,77.99,few clouds,89,22,10.09,MG
308,Panama City,8.9936,-79.5197,86.43,scattered clouds,73,40,12.66,PA
309,Isangel,-19.55,169.2667,78.89,very heavy rain,97,100,30.15,VU
310,Tura,25.5198,90.2201,56.77,clear sky,65,1,4.0,IN
311,Kaoma,-14.7833,24.8,68.43,scattered clouds,86,46,3.13,ZM
312,Leshukonskoye,64.8989,45.7622,17.83,light snow,93,100,10.89,RU
