,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
346,Cidreira,-30.1811,-50.2056,74.84,scattered clouds,61,40,10.8,BR
347,Talcahuano,-36.7167,-73.1167,65.89,clear sky,69,2,12.77,CL
348,Kurumkan,54.3,110.3,1.65,overcast clouds,95,100,2.8,RU
349,Smolenka,52.1352,113.4974,-12.93,overcast clouds,77,100,2.24,RU
350,Tazmalt,36.3868,4.3989,53.1,clear sky,61,1,5.3,DZ
351,Nieuw Amsterdam,5.8833,-55.0833,89.76,few clouds,66,20,6.91,SR
352,Anadyr,64.75,177.4833,-21.5,clear sky,76,0,11.18,RU
353,Bukachacha,52.9833,116.9167,-0.74,overcast clouds,99,100,2.77,RU
354,Brae,60.3964,-1.353,40.91,broken clouds,62,75,33.24,GB
355,Kahului,20.8947,-156.47,74.84,few clouds,75,20,4.61,US
356,Ballina,-28.8667,153.5667,61.95,clear sky,97,6,5.23,AU
357,Geilo,60.5333,8.2076,26.19,light snow,92,61,13.73,NO
358,Channel-Port Aux Basques,47.5702,-59.1367,33.39,overcast clouds,92,100,19.22,CA
359,La Primavera,5.4906,-70.4092,86.86,broken clouds,58,83,3.8,CO
360,Alofi,-19.0595,-169.9187,75.09,overcast clouds,100,91,3.44,NU
361,Krasnoselkup,65.7,82.4667,-11.74,scattered clouds,87,29,10.74,RU
362,Zaysan,47.4667,84.8667,2.43,overcast clouds,88,86,4.07,KZ
363,Hofn,64.2539,-15.2082,26.62,few clouds,63,20,21.85,IS
364,Lensk,60.7253,114.9278,-12.75,overcast clouds,100,100,2.71,RU
365,Sacile,45.9541,12.5029,52.16,clear sky,54,0,3.44,IT
366,Ribeira Grande,38.5167,-28.7,63.0,few clouds,59,20,16.11,PT
367,Quatre Cocos,-20.2078,57.7625,77.11,scattered clouds,76,27,8.16,MU
368,Lahat,-3.8,103.5333,72.77,overcast clouds,81,100,1.95,ID
369,Mitsamiouli,-11.3847,43.2844,82.69,moderate rain,78,20,8.05,KM
370,Dunedin,-45.8742,170.5036,59.81,overcast clouds,99,100,5.01,NZ
371,Lata,40.1629,-8.3327,58.82,clear sky,60,0,1.59,PT
372,Beyla,8.6833,-8.6333,89.17,clear sky,12,3,7.34,GN
373,Innisfail,-17.5333,146.0333,71.47,clear sky,85,6,4.03,AU
374,Heihe,50.2441,127.4902,-1.62,overcast clouds,97,100,6.2,CN
375,Jibuti,11.5,42.5,74.62,scattered clouds,63,33,14.52,DJ
376,Isla Mujeres,21.2311,-86.731,78.85,clear sky,73,9,14.65,MX
377,Rosarito,32.3333,-117.0333,83.08,clear sky,22,4,9.46,MX
378,Honiara,-9.4333,159.95,77.68,overcast clouds,89,94,7.18,SB
379,Kalevala,65.2,31.1667,23.56,overcast clouds,91,93,8.12,RU
380,Puerto Montt,-41.4698,-72.9447,61.9,overcast clouds,54,91,9.62,CL
381,Kemijarvi,66.7131,27.4306,26.31,overcast clouds,92,99,9.33,FI
382,Shetpe,44.1667,52.1167,37.18,broken clouds,62,53,19.62,KZ
383,Catamarca,-28.4696,-65.7852,93.78,clear sky,28,6,5.99,AR
384,Bulgan,48.8125,103.5347,-0.2,overcast clouds,99,98,2.1,MN
385,Nuristan,35.3,70.8333,0.5,scattered clouds,62,25,11.7,AF
386,Ancud,-41.8697,-73.8203,69.42,broken clouds,63,71,11.16,CL
387,Sirjan,29.452,55.6814,49.3,clear sky,29,0,7.47,IR
388,Chernyshevskiy,63.0128,112.4714,-23.91,overcast clouds,100,96,1.74,RU
389,Magistralnyy,56.1725,107.4458,-16.38,overcast clouds,98,100,3.18,RU
390,Laurel,39.0993,-76.8483,56.46,clear sky,45,0,10.36,US
391,Niksar,40.5917,36.9517,36.27,light rain,98,100,3.96,TR
392,Tarko-Sale,64.9225,77.785,-8.81,scattered clouds,85,28,11.32,RU
393,Berezovyy,51.6667,135.7,-4.61,overcast clouds,98,89,3.04,RU
394,Sao Joao Da Barra,-21.6403,-41.0511,78.89,overcast clouds,85,100,11.59,BR
395,Kashary,49.04,41.0056,29.05,overcast clouds,88,100,12.41,RU
396,Nushki,29.5542,66.0215,50.45,clear sky,28,0,1.3,PK
397,Trunovskoye,45.4878,42.1358,36.0,light rain,96,100,14.34,RU
398,Bonthe,7.5264,-12.505,82.22,scattered clouds,72,35,11.5,SL
399,Banda Aceh,5.5577,95.3222,77.81,light rain,81,99,4.54,ID
400,Skibbereen,51.55,-9.2667,45.1,overcast clouds,70,100,10.94,IE
401,Taltal,-25.4,-70.4833,68.47,clear sky,72,9,5.14,CL
402,Kangaatsiaq,68.3065,-53.4641,10.89,light snow,94,100,10.78,GL
403,Walvis Bay,-22.9575,14.5053,70.75,clear sky,78,6,8.05,NA
404,Auki,-8.7676,160.7034,77.92,overcast clouds,89,100,8.52,SB
405,Lewistown,40.5992,-77.5714,52.45,clear sky,71,0,4.61,US
406,Bathsheba,13.2167,-59.5167,81.21,broken clouds,65,75,24.16,BB
407,Umm Lajj,25.0213,37.2685,72.37,clear sky,60,1,5.79,SA
408,Muscatine,41.4667,-91.1335,43.09,overcast clouds,53,100,20.71,US
409,Flin Flon,54.7682,-101.865,4.84,overcast clouds,72,100,4.61,CA
410,Buzmeyin,38.0507,58.2056,42.53,clear sky,49,0,4.61,TM
411,Dossor,47.5272,52.9811,28.98,overcast clouds,87,100,19.37,KZ
412,Springfield,37.2153,-93.2982,57.52,few clouds,32,20,10.36,US
413,Paamiut,61.994,-49.6678,22.8,overcast clouds,79,100,22.62,GL
414,Vila,42.0304,-8.1588,48.7,clear sky,67,0,4.18,PT
415,Maragogi,-9.0122,-35.2225,84.16,scattered clouds,63,35,12.28,BR
416,Yeppoon,-23.1333,150.7333,69.58,clear sky,71,4,3.38,AU
417,Kuantan,3.8077,103.326,77.11,few clouds,88,20,2.3,MY
418,Amuntai,-2.4177,115.2494,73.72,light rain,98,100,0.65,ID
419,Camocim,-2.9022,-40.8411,83.44,broken clouds,71,68,11.99,BR
420,Plast,54.3691,60.8136,-4.5,broken clouds,100,64,4.63,RU
421,Yar-Sale,66.8333,70.8333,2.46,broken clouds,95,62,14.34,RU
422,Sinnamary,5.3833,-52.95,79.38,broken clouds,82,54,10.0,GF
423,Kavaratti,10.5669,72.642,80.29,overcast clouds,69,94,13.29,IN
424,Oriximina,-1.7656,-55.8661,85.75,broken clouds,69,74,1.3,BR
425,San Andres,12.5847,-81.7006,84.22,few clouds,65,20,5.75,CO
426,Sur,22.5667,59.5289,70.54,clear sky,62,3,8.34,OM
427,Jumla,29.2747,82.1838,31.93,overcast clouds,90,96,5.7,NP
428,Gravelbourg,49.8834,-106.5512,32.27,light snow,95,100,7.16,CA
429,Kallifitos,41.1667,24.2167,46.9,few clouds,74,16,4.32,GR
430,Akyab,20.15,92.9,66.45,clear sky,45,4,9.42,MM
431,Kungurtug,50.5994,97.5228,-13.32,overcast clouds,100,88,0.83,RU
432,Broome,42.2506,-75.833,44.17,scattered clouds,55,46,12.66,US
433,Kanniyakumari,8.0833,77.5667,76.93,overcast clouds,75,98,15.66,IN
434,Karratha,-20.7377,116.8463,85.28,broken clouds,65,53,4.41,AU
435,Hirado,33.3597,129.5531,45.36,overcast clouds,70,100,9.31,JP
436,Manhuacu,-20.2581,-42.0336,73.92,overcast clouds,93,99,2.91,BR
437,Aksarka,66.5606,67.7975,-0.89,overcast clouds,99,91,10.2,RU
438,Brokopondo,4.75,-55.1667,83.37,broken clouds,64,77,1.03,SR
439,Bubaque,11.2833,-15.8333,78.51,clear sky,68,8,14.07,GW
440,La Reforma,25.0833,-108.05,80.74,few clouds,28,22,4.74,MX
441,Zhigansk,66.7697,123.3711,-34.04,overcast clouds,98,100,7.11,RU
442,Podujevo,42.9106,21.1931,38.35,broken clouds,97,75,2.08,XK
443,Klaksvik,62.2266,-6.589,32.92,snow,97,99,5.53,FO
444,Tornio,65.8481,24.1466,28.42,broken clouds,98,64,6.53,FI
445,Oktyabrskiy,54.4815,53.471,21.22,overcast clouds,92,100,12.62,RU
446,Kaka,37.3482,59.6143,50.23,clear sky,37,0,2.01,TM
447,Great Yarmouth,52.6083,1.7305,50.23,overcast clouds,86,100,5.1,GB
448,Chake Chake,-5.2459,39.7666,79.54,overcast clouds,81,97,13.89,TZ
449,Los Llanos De Aridane,28.6585,-17.9182,69.55,clear sky,53,0,4.61,ES
450,Gizo,-8.103,156.8419,82.4,light rain,77,92,10.63,SB
451,Primo Tapia,32.22,-116.9172,83.46,clear sky,21,5,13.62,MX
452,Vostok,46.4856,135.8833,-4.9,scattered clouds,99,44,4.36,RU
453,Panzhihua,26.5851,101.7128,47.62,clear sky,56,4,1.61,CN
454,Kiama,-34.6833,150.8667,71.01,clear sky,83,7,4.12,AU
455,Batticaloa,7.7102,81.6924,77.41,overcast clouds,81,87,8.1,LK
456,Poso,-1.3959,120.7524,76.8,moderate rain,85,100,2.95,ID
457,Aquiraz,-3.9014,-38.3911,87.89,broken clouds,69,60,10.76,BR
458,Port Blair,11.6667,92.75,78.84,mist,78,20,5.75,IN
459,Adre,13.4667,22.2,70.66,clear sky,12,10,8.84,TD
460,Lao Cai,22.4833,103.95,59.94,overcast clouds,96,97,1.86,VN
461,Ritchie,-29.038,24.6028,74.41,scattered clouds,26,41,8.3,ZA
462,Monrovia,6.3005,-10.7969,82.24,few clouds,74,16,10.4,LR
463,Ternate,0.8,127.4,79.5,overcast clouds,82,100,4.97,ID
464,Macomb,40.4592,-90.6718,42.64,overcast clouds,68,100,14.97,US
465,Doha,25.2867,51.5333,64.38,clear sky,59,0,9.22,QA
466,Nauchnyy Gorodok,53.4203,83.521,-3.14,clear sky,71,0,11.18,RU
467,Kununurra,-15.7667,128.7333,76.98,broken clouds,94,73,0.0,AU
468,Santarem,-2.4431,-54.7083,82.53,scattered clouds,78,40,2.3,BR
469,Punta De Bombon,-17.1717,-71.7931,73.26,scattered clouds,66,31,9.4,PE
470,Pringsewu,-5.3582,104.9744,73.02,overcast clouds,92,100,2.3,ID
471,Kiunga,-6.1219,141.2906,73.89,overcast clouds,100,100,1.23,PG
472,Salekhard,66.53,66.6019,-9.67,overcast clouds,100,98,3.44,RU
473,Shache,38.4167,77.2406,29.68,broken clouds,48,62,3.29,CN
474,Pahrump,36.2083,-115.9839,64.76,scattered clouds,19,26,5.01,US
475,Cardston,49.2,-113.3019,48.49,broken clouds,46,79,20.71,CA
476,Pitiquito,30.7,-112.0833,68.4,clear sky,12,2,7.81,MX
477,Dalvik,65.9702,-18.5286,24.73,light snow,83,99,6.96,IS
478,Medicine Hat,50.0501,-110.6683,51.51,scattered clouds,46,40,10.36,CA
479,Kawalu,-7.3817,108.2082,73.04,overcast clouds,95,100,2.59,ID
480,Bereda,43.2686,-7.5406,55.15,clear sky,81,0,2.46,ES
481,Mehran,33.1222,46.1646,56.68,clear sky,33,8,11.05,IR
482,Krasnoarmeyskiy,47.0114,42.2072,33.75,light snow,96,100,13.87,RU
483,Colwyn Bay,53.2948,-3.7267,46.26,broken clouds,76,74,5.99,GB
484,Pacifica,37.6138,-122.4869,68.72,scattered clouds,39,40,8.05,US
485,Hato Mayor,18.7629,-69.256,85.51,scattered clouds,67,47,7.85,DO
486,Baoning,25.3378,110.026,42.66,overcast clouds,75,100,4.47,CN
487,Porto Walter,-8.2686,-72.7439,74.55,overcast clouds,95,100,3.44,BR
488,Maldonado,-34.6667,-54.9167,76.39,clear sky,42,4,5.48,UY
489,Darnah,32.767,22.6367,53.44,broken clouds,60,51,19.44,LY
490,Alyangula,-13.8483,136.4192,81.93,broken clouds,79,62,9.86,AU
491,Neyshabur,36.2133,58.7958,45.19,clear sky,37,0,3.15,IR
492,Talnakh,69.4865,88.3972,-13.4,overcast clouds,94,93,10.04,RU
493,Cabinda,-5.55,12.2,80.74,few clouds,83,20,9.22,AO
494,Biloela,-24.4167,150.5,67.19,few clouds,83,18,1.81,AU
495,Kharitonovo,61.4009,47.4978,20.75,snow,94,100,8.86,RU
496,Ramhormoz,31.28,49.6035,57.99,clear sky,40,0,2.28,IR
497,Domoni,-12.2569,44.5319,79.16,overcast clouds,82,97,7.99,KM
498,Shimoda,34.6667,138.95,40.1,light rain,93,100,17.07,JP
499,Sabana Grande De Boya,18.945,-69.7933,82.9,scattered clouds,71,42,6.31,DO
500,Zhongshu,24.5167,103.7667,43.61,broken clouds,91,75,4.16,CN
501,Omsukchan,62.5333,155.8,-22.49,scattered clouds,71,48,3.33,RU
502,Umm Kaddadah,13.6017,26.6876,70.84,scattered clouds,12,32,13.02,SD
503,Bossangoa,6.4926,17.4552,82.31,clear sky,14,2,4.68,CF
504,Bardiyah,31.7561,25.0865,53.91,scattered clouds,56,50,20.6,LY
505,Oksfjord,70.2396,22.3479,23.92,broken clouds,77,55,10.94,NO
506,Makakilo City,21.3469,-158.0858,74.28,clear sky,74,0,5.75,US
507,Kimbe,-5.5502,150.1429,76.12,light rain,93,73,2.39,PG
508,Sambava,-14.2667,50.1667,78.62,light rain,85,21,2.19,MG
509,Roros,62.5747,11.3842,26.44,few clouds,63,20,11.5,NO
510,Tres Picos,15.8667,-93.5333,85.8,clear sky,40,5,2.68,MX
511,Henties Bay,-22.116,14.2845,69.85,clear sky,81,3,5.53,NA
512,Prince Rupert,54.3161,-130.3201,46.49,moderate rain,93,100,29.93,CA
513,Orange Walk,17.8333,-88.8333,80.46,broken clouds,64,82,5.17,BZ
514,Yanam,16.7333,82.2167,67.98,scattered clouds,81,49,2.68,IN
515,Guerrero Negro,27.9769,-114.0611,68.56,scattered clouds,29,33,3.02,MX
516,Lyaskelya,61.7667,31.0167,26.55,scattered clouds,96,47,9.46,RU
517,Ajdovscina,45.886,13.9095,47.61,clear sky,59,1,0.38,SI
518,Mount Gambier,-37.8333,140.7667,56.68,overcast clouds,85,92,4.27,AU
519,Chokwe,-24.5333,32.9833,81.99,clear sky,58,0,11.03,MZ
520,Portland,45.5234,-122.6762,53.22,broken clouds,84,75,1.99,US
521,Sorong,-0.8833,131.25,78.66,overcast clouds,84,100,3.04,ID
522,Rocha,-34.4833,-54.3333,77.92,clear sky,46,7,8.52,UY
523,Yeniseysk,58.4497,92.1703,-22.18,scattered clouds,100,41,0.74,RU
524,Tirau,-37.9833,175.75,71.06,overcast clouds,95,100,2.77,NZ
525,Mount Isa,-20.7333,139.5,76.77,clear sky,83,10,0.0,AU
526,Beringovskiy,63.05,179.3167,-20.4,clear sky,89,8,7.81,RU
527,Yerofey Pavlovich,53.9667,121.9667,-6.63,overcast clouds,98,99,3.13,RU
528,Arona,28.0996,-16.681,69.69,overcast clouds,33,100,7.0,ES
529,Nemuro,43.3236,145.575,20.55,few clouds,77,11,7.92,JP
530,Ketchikan,55.3422,-131.6461,46.38,moderate rain,100,100,20.71,US
531,North Bend,43.4065,-124.2243,56.12,clear sky,66,0,9.22,US
532,Tairua,-37.0167,175.85,71.1,overcast clouds,97,100,6.04,NZ
533,Mubi,10.2676,13.2644,78.1,scattered clouds,8,39,7.36,NG
534,Pangnirtung,66.1451,-65.7125,-13.0,few clouds,64,20,2.3,CA
535,Ranong,9.9658,98.6348,75.92,broken clouds,89,57,3.65,TH
536,Suileng,47.25,127.0833,-2.54,overcast clouds,100,99,4.03,CN
537,Lazaro Cardenas,17.9583,-102.2,81.54,clear sky,56,1,7.16,MX
538,Santa Rosa,14.3122,121.1114,78.78,overcast clouds,76,99,6.08,PH
539,Raudeberg,61.9875,5.1352,41.2,light rain,85,89,13.0,NO
540,Bambanglipuro,-7.95,110.2833,77.81,heavy intensity rain,87,100,10.11,ID
541,Panjab,34.388,67.0233,-3.59,clear sky,87,3,3.06,AF
542,Touros,-5.1989,-35.4608,88.7,broken clouds,57,57,12.88,BR
543,Benghazi,32.1167,20.0667,55.35,clear sky,56,7,16.98,LY
544,Tromso,69.6496,18.957,32.02,scattered clouds,55,40,11.5,NO
545,Rio Grande,-32.035,-52.0986,80.71,scattered clouds,54,34,10.31,BR
546,Koslan,63.4564,48.8989,14.61,light snow,94,100,11.68,RU
547,Nishihara,26.1842,127.7558,62.65,broken clouds,80,75,5.75,JP
548,Pitimbu,-7.4706,-34.8086,86.59,overcast clouds,64,86,11.01,BR
549,Tynda,55.1667,124.7167,-16.69,overcast clouds,97,100,2.59,RU
550,Manokwari,-0.8667,134.0833,78.62,overcast clouds,79,100,5.28,ID
551,Ilhabela,-23.7781,-45.3581,75.96,scattered clouds,82,49,6.06,BR
552,Gubkinskiy,64.434,76.5026,-8.99,scattered clouds,86,25,11.65,RU
553,Kumluca,36.3703,30.2869,50.68,broken clouds,57,71,10.0,TR
554,Hervey Bay,-25.2986,152.8535,66.04,clear sky,76,0,11.21,AU
555,Poddorye,57.4695,31.1156,31.1,overcast clouds,92,87,9.46,RU
556,Palasa,18.7667,84.4167,68.74,clear sky,74,5,2.15,IN
557,Severnyy,50.677,36.5532,32.04,overcast clouds,93,100,8.95,RU
558,Poya,-21.35,165.15,79.56,light rain,93,100,13.4,NC
559,Kupino,54.3663,77.2981,-8.64,clear sky,99,6,7.83,RU
560,Inuvik,68.3499,-133.7218,-22.94,light snow,69,100,6.91,CA
561,Porangatu,-13.4408,-49.1486,79.03,overcast clouds,79,99,5.32,BR
562,Kenora,49.8167,-94.4337,17.58,overcast clouds,79,100,15.01,CA
563,Grindavik,63.8424,-22.4338,28.35,broken clouds,74,75,20.71,IS
564,Nyalikungu,-3.1833,33.7833,66.0,light rain,84,95,7.67,TZ
565,Bo Phloi,14.3236,99.5161,84.31,light rain,65,68,2.19,TH
566,Corrales,35.2378,-106.6067,53.65,clear sky,33,0,8.99,US
567,Luderitz,-26.6481,15.1594,76.24,clear sky,49,3,22.88,NA
568,Abha,18.2164,42.5053,58.82,clear sky,77,0,5.75,SA
569,Aksu,41.1231,80.2644,29.75,overcast clouds,51,100,1.21,CN
570,Jatibonico,21.9419,-79.17,81.72,broken clouds,59,51,4.54,CU
571,Shakhovskaya,56.0283,35.5097,29.57,overcast clouds,89,99,7.4,RU
572,Huacho,-11.1067,-77.605,75.56,broken clouds,67,84,8.95,PE
573,Tocopilla,-22.092,-70.1979,71.13,few clouds,66,12,5.57,CL
574,Natal,-5.795,-35.2094,88.45,few clouds,62,20,16.11,BR
575,Matane,48.8286,-67.522,29.62,overcast clouds,87,100,8.52,CA
576,Dolores,-36.3132,-57.6792,84.04,scattered clouds,27,27,8.97,AR
577,Trincomalee,8.5711,81.2335,79.36,overcast clouds,75,86,11.27,LK
578,Eloy,32.7559,-111.5548,73.54,clear sky,23,0,3.96,US
